origin,modern
"And we understand him well, How he comes o'er us with our wilder days, Not measuring what use we made of them.",And I understand perfectly his sneering reference to my wilder days.
"We never valued this poor seat of England And therefore, living hence, did give ourself To barbarous license, as ’tis ever common That men are merriest when they are from home.",Men tend to be at their most irresponsible when they’re away from home.
So get you hence in peace.,So go in peace.
And tell the Dauphin His jest will savor but of shallow wit When thousands weep more than did laugh at it.,And tell the Dauphin his joke will look pretty stupid when thousands more weep than ever laughed at it.
This was a merry message.,That was a humorous message.
We hope to make the sender blush at it.,I hope to make the sender blush for it.
"Therefore, my lords, omit no happy hour That may give furth'rance to our expedition; For we have now no thought in us but France, Save those to God, that run before our business.","Now, lords, don’t let slip any opportunity that might be advantageous for our expedition."
"Therefore let every man now task his thought, That this fair action may on foot be brought.","Therefore, let every man give some thought to how this noble expedition may be undertaken."
"Now all the youth of England are on fire, And silken dalliance in the wardrobe lies.",Now all the young men of England are inspired and have stored their party clothes in the closet.
"Ere he take ship for France, and in Southampton.","shifts, friends, to Southampton."
"There is the playhouse now, there must you sit, And thence to France shall we convey you safe And bring you back, charming the narrow seas To give you gentle pass; for, if we may, We’ll not offend one stomach with our play.","From there we’ll safely carry you to France and back, calming the waters of the Channel to provide you with a smooth voyage."
"But, till the king come forth, and not till then, Unto Southampton do we shift our scene.",But we won’t shift the scene to Southampton until Henry reappears.
"Well met, Corporal Nym.","Good to see you, Corporal Nym."
"Good morrow, Lieutenant Bardolph.","Good day, Lieutenant Bardolph."
"What, are Ancient Pistol and you friends yet?","Tell me, are you and Ensign Pistol friends again yet?"
"For my part, I care not.","For my part, I really don’t care."
I will bestow a breakfast to make you friends; and we’ll be all three sworn brothers to France.,Then we can all three be comrades on our way to France.
"Let ’t be so, good Corporal Nym.","How about it, Corporal Nym?"
That is my rest; that is the rendezvous of it.,That’s it.
I cannot tell.,It’s not for me to say.
Things must be as they may.,Things are what they are.
"Men may sleep, and they may have their throats about them at that time, and some say knives have edges.","Men may sleep, and when they do they may have their throats with them, and some people say knives have blades."
There must be conclusions.,There must be some resolution.
"Well, I cannot tell. ","Well, it’s not for me to say."
Here comes Ancient Pistol and his wife.,Here comes Ensign Pistol and his wife.
"Now, by this hand, I swear, I scorn the term, Nor shall my Nell keep lodgers.","I swear, I scorn the word."
"Oh, well-a-day, Lady!","Oh, dear."
Pish!,Pish!
"Pish for thee, Iceland dog, Thou prick-eared cur of Iceland!","Pish to you, you mangy dog, you pointy-eared Icelandic mutt."
"Good Corporal Nym, show thy valor and put up your sword.","Corporal Nym, be a man and put away your sword."
Will you shog off? ,"Get lost, will you?"
I am not Barbason; you cannot conjure me.,I am not some fiend of hell: you can’t get rid of me with spells.
I have an humor to knock you indifferently well.,I’m in a mood to beat you up pretty good.
"If you grow foul with me, Pistol, I will scour you with my rapier, as I may, in fair terms.","If you get nasty with me, Pistol, I’ll stab you with my sword, in fair play."
"O braggart vile and damnèd furious wight, The grave doth gape, and doting death is near.","Your grave is gaping open, and your death is near."
Therefore exhale.,So take your last breath.
"Hear me, hear me what I say: he that strikes the first stroke, I’ll run him up to the hilts, as I am a soldier.","Listen, listen to what I say: whoever strikes first, I’ll run him through with my sword, as sure as I’m a soldier."
"An oath of mickle might, and fury shall abate.","That’s an oath of great power, and our fury must subside."
Thy spirits are most tall.,That’s enough.
"By my troth, he’ll yield the crow a pudding one of these days.","I swear, he’ll be food for the crows soon."
The king has killed his heart.,The king has broken his heart.
"Good husband, come home presently.","Good husband, come home soon."
"Come, shall I make you two friends?","Come on, can I get you two to make up?"
Let floods o'erswell and fiends for food howl on!,Let rivers flood and fiends howl for food!
You’ll pay me the eight shillings I won of you at betting?,Are you going to pay the eight shillings I won from you in a bet?
Base is the slave that pays.,Paying debts is for peasants.
That now I will have—that’s the humor of it.,I’m going to take it from you now.
As manhood shall compound.,"We’ll see, won’t we?"
Push home.,Do your best.
"By this sword, he that makes the first thrust, I’ll kill him.","By this sword, I’ll kill whichever one of you makes the first thrust."
"By this sword, I will.","By this sword, I will."
"Sword” is an oath, and oaths must have their course.","By this sword” is an oath, and oaths must be kept."
"Prithee, put up.","Come on, put it away."
"In cash, most justly paid.",In cash.
"Well, then, that’s the humor of ’t.","Well, then, that’s how it is."
"As ever you come of women, come in quickly to Sir John.","If you ever had a mother, come in quickly to Sir John."
"Ah, poor heart, he is so shaked of a burning quotidian tertian that it is most lamentable to behold.","The poor thing, he is so shaken with a fever that it’s terrible to see."
"Sweet men, come to him.","Sweet men, come to him."
"Turning th' accomplishment of many years Into an hour-glass; for the which supply, Admit me chorus to this history; Who, prologue-like, your humble patience pray Gently to hear, kindly to judge our play.","And, as the speaker of any prologue should, I ask you to hear our play courteously and to judge it kindly."
"Nym, thou hast spoke the right.","Nym, what you say is true."
He passes some humors and careers.,He has his moods and his ways.
They shall be apprehended by and by.,How smooth and cool they seem!
"How smooth and even they do bear themselves, As if allegiance in their bosoms sat Crownèd with faith and constant loyalty.",Just as if they were perfectly loyal and faithful.
"The king hath note of all that they intend, By interception which they dream not of.","The king has been informed of all their plans, but they have no idea."
"Now sits the wind fair, and we will aboard.","Now that the wind is favorable, let’s board the ship."
"My Lord of Cambridge, and my kind Lord of Masham, And you, my gentle knight, give me your thoughts.","My Lord of Cambridge and my good Lord of Masham and you, my noble knight, what do you think?"
"Think you not that the powers we bear with us Will cut their passage through the force of France, Doing the execution and the act For which we have in head assembled them?","Will our army cut a swath through the fighting force of France, achieving and accomplishing everything I’ve assembled them to do?"
"No doubt, my liege, if each man do his best.","No doubt it will, my liege, if each man does his best."
"I doubt not that, since we are well-persuaded We carry not a heart with us from hence That grows not in a fair consent with ours, Nor leave not one behind that doth not wish Success and conquest to attend on us.","I have no doubt about that, since I know there isn’t a man among us who isn’t with me wholeheartedly, or a soul left behind who doesn’t wish us success and conquest."
Never was monarch better feared and loved Than is your Majesty.,"There never was a monarch better feared and loved than yourself, your Majesty."
"There’s not, I think, a subject That sits in heart-grief and uneasiness Under the sweet shade of your government.",I don’t think there’s a single unhappy subject living under the protection of your government.
True.,True.
"Those that were your father’s enemies Have steeped their galls in honey, and do serve you With hearts create of duty and of zeal.","Those who were bitter enemies of your father in his time have turned their bitterness to sweetness, serving you loyally and wholeheartedly."
We therefore have great cause of thankfulness And shall forget the office of our hand Sooner than quittance of desert and merit According to the weight and worthiness.,"Yes, I have great cause to be thankful."
"We judge no less.—Uncle of Exeter, Enlarge the man committed yesterday That railed against our person.","Uncle of Exeter, release the man who was arrested yesterday for railing against me."
"That’s mercy, but too much security.",That’s merciful but a bit careless.
"Oh, let us yet be merciful.","Oh, let us be merciful anyway."
And now to our French causes.,"And now, let’s turn to our business with the French."
Who are the late commissioners?,Who are the new commissioners?
"I one, my lord.","I am one, my lord."
Your Highness bade me ask for it today.,Your Highness told me to ask for my commission today.
"So did you me, my liege.","You told me to do the same, my liege."
"And I, my royal sovereign.","And me, too, my royal sovereign."
"I do confess my fault, And do submit me to Your Highness' mercy.",I confess my crime and throw myself on your Highness’s mercy.
To which we all appeal.,To which we all appeal.
The mercy that was quick in us but late By your own counsel is suppressed and killed.,The mercy that was alive in me a moment ago was smothered and killed by your own advice.
"Tis so strange That, though the truth of it stands off as gross As black and white, my eye will scarcely see it.","Though the truth of your treachery is as plain as black on white, I can scarcely believe it, it’s so past understanding."
"Treason and murder ever kept together As two yoke-devils sworn to either’s purpose, Working so grossly in a natural cause That admiration did not whoop at them.","All other devils who tempt people to treason patch together some motive, put together from shreds"
"All other devils that suggest by treasons Do botch and bungle up damnation With patches, colors, and with forms being fetched From glist'ring semblances of piety.",and patches of righteousness.
"But he that tempered thee bade thee stand up, Gave thee no instance why thou shouldst do treason, Unless to dub thee with the name of traitor.",But the devil that tempted you gave you no reason why you should commit treason other than to win the name of traitor.
"If that same demon that hath gulled thee thus Should with his lion gait walk the whole world, He might return to vasty Tartar back And tell the legions “I can never win A soul so easy as that Englishman’s.” Oh, how hast thou with jealousy infected The sweetness of affiance!","The demon who seduced you could stride the world over with the proud gait of a lion, could return to hell and tell the devil’s legions, “I will never win another soul as easily as I won that Englishman’s.” How you have poisoned my faith in people!"
"Why, so didst thou.","Why, so did you."
"Why, so didst thou.","Why, so did you."
Come they of noble family?,Do they come from good families?
"Why, so didst thou.","Why, so did you."
Seem they religious?,Do they seem religious?
"Why, so didst thou.","Why, so did you."
Such and so finely bolted didst thou seem.,That’s how sound a man you appeared.
And thus thy fall hath left a kind of blot To mark the full-fraught man and best endued With some suspicion.,Your fall has left a blot that opens even the best and brightest to suspicion.
"I will weep for thee, For this revolt of thine methinks is like Another fall of man.—Their faults are open.",This treachery of yours is like the second 
"I arrest thee of high treason, by the name of Richard, Earl of Cambridge.","Richard Earl of Cambridge, I arrest you for high treason."
"I arrest thee of high treason, by the name of Henry, Lord Scroop of Masham.","Henry Lord Scroop of Masham, I arrest you for high treason."
"I arrest thee of high treason, by the name of Thomas Grey, knight, of Northumberland.","Thomas Grey, knight, of Northumberland, I arrest you for high treason."
"Our purposes God justly hath discovered, And I repent my fault more than my death, Which I beseech Your Highness to forgive, Although my body pay the price of it.","I regret my crime more than my death, and I beg your Highness to forgive me, while punishing my body with death."
"For me, the gold of France did not seduce, Although I did admit it as a motive The sooner to effect what I intended; But God be thankèd for prevention, Which I in sufferance heartily will rejoice, Beseeching God and you to pardon me.","But I thank God that I failed in my scheme, and I rejoice in paying the penalty, as I beg God and you to pardon me."
"Never did faithful subject more rejoice At the discovery of most dangerous treason Than I do at this hour joy o'er myself, Prevented from a damnèd enterprise.",No faithful subject ever rejoiced more at the discovery of most dangerous treason than I now rejoice that I was thwarted in a damnable undertaking.
"My fault, but not my body, pardon, sovereign.","Pardon my crime, sovereign, but not my person."
God quit you in His mercy.,May God in His mercy forgive you.
"Touching our person, seek we no revenge, But we our kingdom’s safety must so tender, Whose ruin you have sought, that to her laws We do deliver you.","I seek no revenge for myself, but so dearly do I hold the safety of my kingdom, which you sought to destroy, that you must be punished according to her laws."
"Get you therefore hence, Poor miserable wretches, to your death, The taste whereof God of His mercy give You patience to endure, and true repentance Of all your dear offences.—Bear them hence.","So go to your deaths, poor miserable wretches, the pain of which may merciful God give you the strength to endure."
"We doubt not of a fair and lucky war, Since God so graciously hath brought to light This dangerous treason lurking in our way To hinder our beginnings.","I have no doubt that it will be a swift and successful war, since God so graciously exposed this dangerous plot."
We doubt not now But every rub is smoothèd on our way.,I’m now sure that every bump in the road has been removed.
"Then forth, dear countrymen.","Let’s go forth, dear countrymen."
No king of England if not king of France.,I’ll be no king of England if I’m not also king of France.
"For Falstaff, he is dead, and we must earn therefore.","No, because my manly heart is grieving."
"He’s in Arthur’s bosom, if ever man went to Arthur’s bosom.","Bardolph, be happy.—Nym, rouse your bragging spirits.—Boy, be brave."
I hoped there was no need to trouble himself with any such thoughts yet.,"Oh, no, he’s surely not in hell."
They say he cried out of sack.,He’s in  They say he cried out against sherry.
"Ay, that he did.","Yes, he did."
And of women.,And women.
"Nay, that he did not.","No, he did not."
A could never abide carnation.,He could never bear carnation.
Twas a color he never liked.,It was a color he never did like.
He said once the devil would have him about women.,He once said the devil would get him because of women.
"He did in some sort, indeed, handle women, but then he was rheumatic, and talked of the Whore of Babylon.","He did touch on women a bit, but his body was aching with fever and he talked about the Whore of Babylon."
"Do you not remember he saw a flea stick upon Bardolph’s nose, and he said it was a black soul burning in hell?",Don’t you remember how he saw a flea land on Bardolph’s nose and said it was a black soul burning in hell?
Shall we shog?,"Well, the  Shall we get moving?"
The King will be gone from Southampton.,The king will already have left Southampton.
Look to my chattels and my movables.,Look after my goods and possessions.
"Therefore,  Go, clear thy crystals.—Yoke-fellows in arms, Let us to France, like horse-leeches, my boys, To suck, to suck, the very blood to suck.","My lord, this bill that’s being proposed is the same one that was proposed in the eleventh year of old King Henry’s reign."
"My lord, I’ll tell you that self bill is urged Which in th' eleventh year of the last king’s reign Was like, and had indeed against us passed But that the scambling and unquiet time Did push it out of farther question.","Everyone thought it would pass then, and it probably would have had it not been for the great civil unrest and uncertainty of the time, which required the matter to be put off."
"But how, my lord, shall we resist it now?","But how will we keep it from being passed now, my lord?"
It must be thought on.,We have to think about that.
"If it pass against us, We lose the better half of our possession, For all the temporal lands which men devout By testament have given to the Church Would they strip from us, being valued thus: “As much as would maintain, to the King’s honor, Full fifteen earls and fifteen hundred knights, Six thousand and two hundred good esquires; And, to relief of lazars and weak age Of indigent faint souls past corporal toil, A hundred almshouses right well supplied; And to the coffers of the King besides, A thousand pounds by th' year.” Thus runs the bill.","If it does pass, the Church will lose more than half of what it possesses, because the bill would strip us of enough real estate left to the church by wealthy, pious men in their wills to support fifteen earls and fifteen hundred knights, six thousand two hundred squires, and a hundred well-supplied almshouses for the relief of lepers, old-age pensioners, the poor, and those too weak or sick to work."
This would drink deep.,That’s what the bill says.
But what prevention?,But what can be done to prevent it?
The king is full of grace and fair regard.,The king is virtuous and kind.
And a true lover of the holy Church.,And a true lover of the holy Church.
"And that’s but unwholesome food, they say.",I’ve heard that’s not the most nourishing food.
"Touch her soft mouth, and march.","Kiss her soft mouth, and we’ll be off."
"Farewell, hostess.","Farewell, hostess."
Let housewifery appear.,Be thrifty.
"Keep close, I thee command.","And keep yourself hidden, I command you."
Farewell.,Farewell.
Adieu.,Adieu.
"Therefore the Dukes of Berri and of Brittany, Of Brabant and of Orléans, shall make forth, And you, Prince Dauphin, with all swift dispatch, To line and new-repair our towns of war With men of courage and with means defendant.","Therefore the dukes of Berri, Bretagne, Brabant, and Orléans shall advance, and you, Prince Dauphin, will swiftly entrench and fortify our fortress towns with men of courage and the means to defend themselves."
For England his approaches makes as fierce As waters to the sucking of a gulf.,The king of England’s approach is as forceful as a whirlpool.
"And let us do it with no show of fear, No, with no more than if we heard that England Were busied with a Whitsun morris-dance.","Let’s do it with no show of anxiety—no, with no more fear than if we’d heard that the English were busying themselves with folk dancing."
"For, my good liege, she is so idly kinged, Her scepter so fantastically borne By a vain, giddy, shallow, humorous youth, That fear attends her not.","Because, my good king, England is so poorly led, her scepter so foolishly borne by a vain, silly, shallow, impulsive youth, that she’s hardly a threat."
"Oh peace, Prince Dauphin!","Oh, please, Prince Dauphin!"
You are too much mistaken in this king.,You are completely wrong about this king.
"Question your Grace the late ambassadors With what great state he heard their embassy, How well supplied with noble counselors, How modest in exception, and withal How terrible in constant resolution, And you shall find his vanities forespent Were but the outside of the Roman Brutus, Covering discretion with a coat of folly, As gardeners do with ordure hide those roots That shall first spring and be most delicate.","Talk to the ambassadors who’ve just come back: ask them how majestically he responded to their message, how well supplied he was with good advisors, how restrained in expressing his displeasure, and, moreover, how terrifyingly firm he was in his resolve."
"Well, ’tis not so, my Lord High Constable.","You’ll discover that his youthful follies were like the persona that  Well, you’re wrong, my Lord High Constable."
"But though we think it so, it is no matter.","But even if I thought you were right, it doesn’t matter."
In cases of defense ’tis best to weigh The enemy more mighty than he seems.,"When it comes to defense, it’s best to assume that the enemy is more powerful than he seems."
"Up in the air, crowned with the golden sun, Saw his heroical seed and smiled to see him Mangle the work of nature and deface The patterns that by God and by French fathers Had twenty years been made.","crowned by the golden sun, observed his heroic son and smiled to see him mangle the work of nature, French youth whose fathers and God had nurtured for twenty years, since they were babies."
"This is a stem Of that victorious stock, and let us fear The native mightiness and fate of him.",This king is a branch of that same victorious stock.
Ambassadors from Harry King of England Do crave admittance to your Majesty.,"Ambassadors of Harry, king of England, request a hearing with your Majesty."
We’ll give them present audience.,We’ll see them immediately.
"Go, and bring them.",Bring them right in.
"Good my sovereign, Take up the English short, and let them know Of what a monarchy you are the head.","My good King, surprise the English and let them know what kind of kingdom you rule over."
"Self-love, my liege, is not so vile a sin As self-neglecting.","Self-love, my liege, is not so great a sin as self-neglect."
From our brother England?,"From our brother monarch, the king of England?"
Or else what follows?,And what will happen if I don’t?
"Bloody constraint, for if you hide the crown Even in your hearts, there will he rake for it.",Bloodshed will force you to.
"For us, we will consider of this further.",I’ll think it over.
Tomorrow shall you bear our full intent Back to our brother England.,"Tomorrow, I’ll let you know what I’ve decided and what answer you should deliver to the king of England."
"For the Dauphin, I stand here for him.","Regarding the Dauphin, you can speak to me."
What to him from England?,What’s the message from the English king?
"Scorn and defiance, slight regard, contempt, And anything that may not misbecome The mighty sender, doth he prize you at.","Scorn and defiance, indifference, contempt, and any insult that wouldn’t disgrace the mighty sender—that’s the value he puts on you."
"Thus says my king: an if your father’s Highness Do not, in grant of all demands at large, Sweeten the bitter mock you sent his Majesty, He’ll call you to so hot an answer of it That caves and womby vaultages of France Shall chide your trespass and return your mock In second accent of his ordinance.","And my king goes on: if your royal father does not sweeten the bitter insult you sent my king and grant all our demands, Henry’s artillery will give you so resounding an answer that the very caves and vaulted cathedrals of France shall echo your mocking of him back in your face."
"To that end, As matching to his youth and vanity, I did present him with the Paris balls.","To that end, I presented him with the tennis balls, the perfect expression of his inexperience and frivolity."
"He’ll make your Paris Louvre shake for it, Were it the mistress court of mighty Europe.","He’ll make your palace tremble for this insult, even if it were the mightiest in all of Europe."
"And be assured you’ll find a difference, As we his subjects have in wonder found, Between the promise of his greener days And these he masters now.","And, make no mistake, you’ll find, as we his subjects have, an amazing difference between the king as a young man and the way he is now."
Tomorrow shall you know our mind at full.,We’ll give you an answer tomorrow.
"Dispatch us with all speed, lest that our king Come here himself to question our delay, For he is footed in this land already.","Don’t take too long, unless you want our king to come after me to ask what’s holding things up, because he’s already landed here."
You shall be soon dispatched with fair conditions.,You’ll have your answer soon.
A night is but small breath and little pause To answer matters of this consequence.,A night isn’t much time for addressing matters of this importance.
Thus with imagined wing our swift scene flies In motion of no less celerity Than that of thought.,"And so, on the wings of imagination and at the speed of thought, our scene flies swiftly on."
"Play with your fancies and in them behold, Upon the hempen tackle, shipboys climbing.",Picture the cabin boys climbing around the rigging.
"Hear the shrill whistle, which doth order give To sounds confused.",Hear the shrill whistle that brings order to the hubbub.
"Behold the threaden sails, Borne with th' invisible and creeping wind, Draw the huge bottoms through the furrowed sea, Breasting the lofty surge.","Picture the linen sails driven by the invisible and subtle wind as they pull the vast hulls through the wrinkled sea, breasting the high waves."
"Oh, do but think You stand upon the rivage and behold A city on th' inconstant billows dancing, For so appears this fleet majestical Holding due course to Harfleur.","Pretend that you’re standing on the shore, watching a city dance on the shifting waves, and you’ll have an idea of the look of this majestic fleet as it holds a straight course for Harfleur."
"Follow, follow!","Follow it, follow it!"
"Work, work your thoughts, and therein see a siege.","Once there, make your thoughts work harder, and witness a siege."
"Behold the ordnance on their carriages, With fatal mouths gaping on girded Harfleur.",Take in the wheeled canons with their deadly gaping mouths trained on the walled city of Harfleur.
"Suppose th' Ambassador from the French comes back, Tells Harry that the king doth offer him",Imagine the French ambassador returning to inform Harry that the king offers him
"Katherine his daughter and with her, to dowry, Some petty and unprofitable dukedoms.","his daughter, Katherine, with some insignificant, unprofitable dukedoms as her dowry."
Still be kind And eke out our performance with your mind.,Indulge us further and supplement our performance with your own imaginings.
"Once more unto the breach, dear friends, once more, Or close the wall up with our English dead!","Attack the breach in the city wall once more, dear friends, attack it once more—or else let’s close it up with English corpses."
"Now set the teeth and stretch the nostril wide, Hold hard the breath and bend up every spirit To his full height.",Now grit your teeth and let your nostrils flare.
"On, on, you noblest English, Whose blood is fet from fathers of war-proof, Fathers that, like so many Alexanders, Have in these parts from morn till even fought And sheathed their swords for lack of argument.","On, on, you noblest Englishmen, descended as you are from battle-tested fathers, fathers who, like so many Alexander the Greats, have fought in these regions from morning until night, sheathing their swords only when there was no one left to fight."
Dishonor not your mothers.,Don’t dishonor your mothers!
Now attest That those whom you called fathers did beget you.,Prove that the men you call your fathers did truly conceive you.
"And you, good yeoman, Whose limbs were made in England, show us here The mettle of your pasture.","And you, good farmers, whose limbs were made in England, show us here the vigor of your upbringing."
"Let us swear That you are worth your breeding, which I doubt not,","Prove you are worthy of your birth, which I do not doubt for a moment."
We are blessèd in the change.,We are fortunate in the change.
"List his discourse of war, and you shall hear A fearful battle rendered you in music.","Listen to him talk about war, and you’ll hear elegant and thrilling accounts of the battles."
"Follow your spirit, and upon this charge Cry “God for Harry, England, and Saint George!”","Follow your spirit, and as you charge cry, “God for Harry, England, and Saint George!”"
"On, on, on, on, on!","On, on, on, on, on!"
"To the breach, to the breach!","To the breach, to the breach!"
"Pray thee, corporal, stay.","Please, corporal, stop!"
"The plainsong” is most just, for humors do abound.",You can see how it is all around.
Would I were in an alehouse in London!,I wish I were in an alehouse in London!
"I would give all my fame for a pot of ale, and safety.",I would give all my glory for a mug of ale and safety.
And I.,Me too.
"Up to the breach, you dogs!","Up to the breach, you dogs!"
"Avaunt, you cullions!",Go!
"Be merciful, great duke, to men of mold.","Great Duke, be merciful to mortal men."
"Good bawcock, 'bate thy rage.","Dear man, calm your rage."
"Use lenity, sweet chuck.","Be lenient, dearest!"
These be good humors.,This is healthy talk.
Your Honor wins bad humors.,Your Honor’s is unhealthy talk.
"As young as I am, I have observed these three swashers.","Young though I am, I’ve been observing these three blowhards closely."
"I am boy to them all three, but all they three, though they would serve me, could not be man to me.","Yet not one among them, if all three were to wait on me, could be my “man,” because three such fakes don’t amount to a man."
They will steal anything and call it purchase.,They will steal anything and call it spoils.
"They would have me as familiar with men’s pockets as their gloves or their handkerchers, which makes much against my manhood, if I should take from another’s pocket to put into mine, for it is plain pocketing up of wrongs.","They would like me to be as familiar with men’s pockets as their gloves and handkerchiefs, which goes against my manhood, because to take something from another’s pocket and put it into my own is plain stealing."
I must leave them and seek some better service.,I must leave them and seek some better employment.
"Their villainy goes against my weak stomach, and therefore I must cast it up. ","Their villainy nauseates me, and I must therefore vomit it up."
To the mines?,The tunnels!
"The concavities of it is not sufficient, for, look you, th' athversary, you may discuss unto the duke, look you, is digt himself four yard under the countermines.","For the enemy, see—and you can explain this to the duke, see—has dug its own tunnels four yards below ours."
"By Cheshu, I think he will plow up all if there is not better directions.","By Jesus, I think they will blow up everything if we don’t improve our tactics."
"The duke of Gloucester, to whom the order of the siege is given, is altogether directed by an Irishman, a very valiant gentleman, i' faith.","The duke of Gloucester, who has command over the siege, is in consultation with an Irishman, a very valiant gentleman indeed."
"It is Captain Macmorris, is it not?","It’s Captain Macmorris, right?"
I think it be.,I think so.
"By Cheshu, he is an ass, as in the world.","Jesus, he’s an ass if there ever was one!"
I will verify as much in his beard.,I will say as much to his face.
"He has no more directions in the true disciplines of the wars, look you, of the Roman disciplines, than is a puppy dog.","He knows no more about the proper practice of war, see—the ancient practices—than a puppy."
"Here he comes, and the Scots captain, Captain Jamy, with him. ","Here he comes with Captain Jamy, the Scots captain."
"Captain Jamy is a marvelous falorous gentleman, that is certain, and of great expedition and knowledge in th' aunchient wars, upon my particular knowledge of his directions.","Captain Jamy is a wonderfully valorous gentleman, that’s certain, one with great learning and knowledge concerning ancient warfare, I happen to know from his maneuvers."
"By Cheshu, he will maintain his argument as well as any military man in the world in the disciplines of the pristine wars of the Romans.","By Jesus, he will defend his position on the practices of the ancient Roman wars as well as any military man in the world."
"I say gudday, Captain Fluellen.","Good day to you, Captain Fluellen."
"Godden to your Worship, good Captain James.","Good evening to your Worship, good Captain James."
"How now, Captain Macmorris, have you quit the mines?","Tell me, Captain Macmorris, have you left the tunnels?"
Have the pioneers given o'er?,Have the excavators stopped work?
"By Chrish, la, ’tish ill done.","Christ, it’s a disaster."
"By my hand I swear, and my father’s soul, the work ish ill done.","I swear by this hand and my father’s soul, the whole thing is a disaster."
It ish give over.,It’s all stopped.
"I would have blowed up the town, so Chrish save me, la, in an hour.",I could have blown up the town in an hour.
"Oh, ’tish ill done, ’tish ill done, by my hand, ’tish ill done.","Oh, it’s a disaster, a disaster, by this hand, it’s a disaster."
"Captain Macmorris, I beseech you now, will you voutsafe me, look you, a few disputations with you as partly touching or concerning the disciplines of the war, the Roman wars?","Captain Macmorris, I beg your pardon, but would you grant me a discussion or two with you, see, partly touching on or concerning the practice of war, the Roman wars, for the sake of argument, see, and friendly conversation?"
"In the way of argument, look you, and friendly communication, partly to satisfy my opinion, and partly for the satisfaction, look you, of my mind, as touching the direction of the military discipline, that is the point.","Partly to confirm my opinion and partly for the satisfaction, see, of my mind, with respect to the demands of proper military practice—that’s the point?"
"What enterprise, Popillius?","What endeavor, Popillius?"
Fare you well.,Good luck.
Look how he makes to Caesar.,"Look, he’s approaching Caesar."
Mark him.,Keep an eye on him.
"Casca, be sudden, for we fear prevention —Brutus, what shall be done?","Brutus, what will we do?"
"If this be known, Cassius or Caesar never shall turn back, For I will slay myself.","If our secret’s known, either Caesar or I will die, for I’ll kill myself."
"Cassius, be constant.","Cassius, stand firm."
Trebonius knows his time.,Trebonius knows his cue.
Where is Metellus Cimber?,Where’s Metellus Cimber?
Let him go And presently prefer his suit to Caesar.,He should go up and offer his petition to Caesar now.
He is addressed.,They’re speaking to him.
Press near and second him.,Go up there and second his petition.
"Casca, you are the first that rears your hand.","Casca, you’ll be the first to raise your hand."
Are we all ready?,Are we all ready?
"Most high, most mighty, and most puissant Caesar, Metellus Cimber throws before thy seat An humble heart—     I must prevent thee, Cimber.","I have to stop you, Cimber."
These couchings and these lowly courtesies Might fire the blood of ordinary men And turn preordinance and first decree Into the law of children.,"These kneelings and humble courtesies might excite ordinary men, flattering them into turning Roman law into children’s games."
"What, Brutus?","What, even you, Brutus?"
I could be well moved if I were as you.,I could be convinced if I were like you.
"If I could pray to move, prayers would move me.","If I could beg others to change their minds, begging would convince me, too."
"But I am constant as the northern star, Of whose true-fixed and resting quality There is no fellow in the firmament.","But I’m as immovable as the northern star, whose stable and stationary quality has no equal in the sky."
The skies are painted with unnumbered sparks.,The sky shows countless stars.
So in the world.,So it is on earth.
"And that I am he Let me a little show it even in this: That I was constant Cimber should be banished, And constant do remain to keep him so.","To show you that that’s me, let me prove it a little even in this case."
Hence!,Enough!
Wilt thou lift up Olympus?,Would you try to lift Mount Olympus?
Doth not Brutus bootless kneel?,"Haven’t I resisted even Brutus, begging from his knees?"
"Speak, hands, for me!","Hands, speak for me!"
Liberty!,Liberty!
Freedom!,Freedom!
Tyranny is dead!,Tyranny is dead!
"Run hence, proclaim, cry it about the streets.",Run and proclaim it in the streets.
"Some to the common pulpits, and cry out, “Liberty, freedom, and enfranchisement!” People and senators, be not affrighted.","Some should go to the public platforms and cry out, “Liberty, freedom, and democracy!” People and senators, don’t be afraid."
Fly not.,Don’t run away—stay where you are.
"Go to the pulpit, Brutus.","Go to the platform, Brutus."
And Cassius too.,And Cassius too.
Where’s Publius?,Where’s Publius?
"Stand fast together, lest some friend of Caesar’s Should chance— Talk not of standing.—Publius, good cheer.","Stand close together, in case someone loyal to Caesar tries to— Don’t talk about standing together.—Publius, cheer up."
"There is no harm intended to your person, Nor to no Roman else.","We don’t intend any harm to you, nor to anyone else."
"So tell them, Publius.","Tell them this, Publius."
"And leave us, Publius, lest that the people, Rushing on us, should do your age some mischief.","And leave us, Publius, in case the people storming us should harm you."
Do so.,Do so.
And let no man abide this deed But we the doers.,"And let no one suffer for this deed except us, the perpetrators."
Where is Antony?,Where’s Antony?
Fled to his house amazed.,"He ran to his house, stunned."
"Men, wives, and children stare, cry out, and run As it were doomsday.","Men, wives, and children stare, cry out, and run in the streets as though it were doomsday."
"Why, he that cuts off twenty years of life Cuts off so many years of fearing death.","Why, the man who shortens his life by twenty years cuts off twenty years of worrying about death."
"Stoop, Romans, stoop, And let us bathe our hands in Caesar’s blood Up to the elbows, and besmear our swords.","Kneel, Romans, kneel, and let’s wash our hands, up to the elbows, in Caesar’s blood and smear it on our swords."
"Then walk we forth, even to the marketplace, And waving our red weapons o'er our heads Let’s all cry, “Peace, freedom, and liberty!” Stoop, then, and wash.","Then we’ll go out, even to the marketplace, and, waving our bloody swords over our heads, let’s cry, “Peace, freedom, and liberty!” Kneel then, and wash."
